Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,NVDA,TSLA,AAPL,NVDA,TSLA,AAPL,NVDA,TSLA,AAPL,NVDA,TSLA,AAPL,NVDA,TSLA,AAPL,NVDA,TSLA
Date,,,,,,,,,,,,,,,,,,
2010-05-24,7.460958003997803,2.8344643115997314,,8.812856674194336,3.0899999141693115,,8.960714340209961,3.2100000381469727,,8.795000076293945,3.0799999237060547,,8.831428527832031,3.172499895095825,,754238800,66456400,
2010-05-25,7.414398193359375,2.9101405143737793,,8.757857322692871,3.172499895095825,,8.812856674194336,3.1875,,8.470000267028809,2.9625000953674316,,8.548213958740234,2.992500066757202,,1048006400,96665200,
2010-05-26,7.38083553314209,2.923900842666626,,8.71821403503418,3.1875,,9.004643440246582,3.362499952316284,,8.70535659790039,3.177500009536743,,8.931428909301758,3.299999952316284,,850654000,99502800,
2010-05-27,7.660212516784668,3.0958950519561768,,9.048213958740234,3.375,,9.067500114440918,3.375,,8.896785736083984,3.259999990463257,,8.949999809265137,3.2674999237060547,,666282400,71356000,
2010-05-28,7.766946792602539,3.0133376121520996,,9.174285888671875,3.2850000858306885,,9.264286041259766,3.369999885559082,,9.048213958740234,3.234999895095825,,9.26392936706543,3.369999885559082,,815614800,54511600,
2010-06-01,7.886378288269043,2.8849143981933594,,9.315357208251953,3.1449999809265137,,9.497857093811035,3.2774999141693115,,9.248571395874023,3.1424999237060547,,9.274642944335938,3.240000009536743,,876472800,52749200,
2010-06-02,7.980710983276367,2.917020320892334,,9.426786422729492,3.180000066757202,,9.45714282989502,3.184999942779541,,9.297499656677246,3.130000114440918,,9.447856903076172,3.1500000953674316,,688548000,64908800,
2010-06-03,7.955615997314453,2.9124348163604736,,9.397143363952637,3.174999952316284,,9.483928680419922,3.182499885559082,,9.3003568649292,3.1050000190734863,,9.47071361541748,3.115000009536743,,650106800,58636000,
2010-06-04,7.739127159118652,2.7748398780822754,,9.14142894744873,3.0250000953674316,,9.353570938110352,3.137500047683716,,9.093929290771484,3.007499933242798,,9.221785545349121,3.0824999809265137,,758304400,67145600,
2010-06-07,7.587344169616699,2.6372439861297607,,8.962142944335938,2.875,,9.255356788635254,3.057499885559082,,8.948213577270508,2.862499952316284,,9.224642753601074,3.0374999046325684,,886942000,57724800,
2010-06-08,7.538665771484375,2.5638599395751953,,8.904643058776855,2.7950000762939453,,9.064286231994629,2.862499952316284,,8.773214340209961,2.7225000858306885,,9.044285774230957,2.862499952316284,,1000770400,96763600,
2010-06-09,7.353321552276611,2.501941204071045,,8.685713768005371,2.7274999618530273,,8.996429443359375,2.884999990463257,,8.660357475280762,2.7174999713897705,,8.981071472167969,2.809999942779541,,854630000,69715200,
2010-06-10,7.574345111846924,2.6028456687927246,,8.946785926818848,2.8375000953674316,,8.963570594787598,2.8499999046325684,,8.649999618530273,2.7750000953674316,,8.744285583496094,2.7825000286102295,,776356000,61176800,
2010-06-11,7.665052890777588,2.6624701023101807,,9.053929328918457,2.9024999141693115,,9.066429138183594,2.9149999618530273,,8.834643363952637,2.799999952316284,,8.865357398986816,2.807499885559082,,545759200,44210400,
2010-06-14,7.68833065032959,2.605138063430786,,9.081428527832031,2.8399999141693115,,9.255356788635254,2.950000047683716,,9.071785926818848,2.8324999809265137,,9.14142894744873,2.944999933242798,,602960400,37508000,
